symbol,name,marketcap,debt_ratio,growth,id,oneyearhigh,price,eps,float,insider_own,percent_institutions_own,price_percent_from_1_yr_hi,price_to_revenue,volume,lt_debt,ebitda
HSTRF,Hollister Biosciences Inc,15346912,NaN,37.211,16534,0.139,0.08,-0.04,123731117,20.419,0,0.58,2.3714,537662,241525.00,NA
HTBX,"Heat Biologics, Inc",172676912,NaN,0.732,16554,4.3,1.1,-0.383,143729373,6.037,13.56,0.26,18.1562,5903700,NA,-20375828
NBY,"NovaBay Pharmaceuticals, Inc",31559538,NaN,1.227,16575,1.94,0.76,-0.361,32524568,41.266999999999996,6.525,0.39,2.1917,1652800,NA,-8698000
NCNNF,48North Cannabis Corp,17850010,NaN,2.292,16620,0.635,0.11,-0.137,124902945,27.665,0,0.18,5.0124,28441,NA,NA
NXGWF,Next Green Wave Holdings Inc,26404258,NaN,53.694,16815,0.27,0.17,-0.058,112529220,28.673,0,0.61,6.1288,219454,2935332.00,NA
HYRE,HyreCar Inc,61922700,-0.14,0.469,16990,4.18,3.52,-1.021,12087135,31.732,33.855000000000004,0.84,3.0869,87870,1112935.00,-8189760
NLST,"Netlist, Inc",90274344,-2.19,0.979,17061,0.9,0.45,-0.05,184526637,6.358,0.13999999999999999,0.50,2.0841,412567,16403000.00,-7483000
NQMLF,NQ Minerals Plc,30307068,NaN,3.026,17139,0.1385,0.1,0,0,65.853,0,0.71,1.385,66116,NA,NA
NNA,Navios Maritime Acquisition Corporation,66610580,5.91,0.916,17180,11.52,4.13,-1.204,9788606,39.696999999999996,8.424,0.36,0.181,190900,1099773000.00,186151008
NVAAF,Nova Minerals Limited,82013752,NaN,4378.778,17337,0.072,0.07,0,834821422,25.202999999999996,0,1.00,0,50020,NA,NA
POSAF,POSaBIT Systems Corporation,985729,NaN,0.828,6920,0.2,0.06,-0.033,64759684,22.127,0,0.30,0.9796,25760,NA,-3485576
PQEFF,Petroteq Energy Inc,20381324,-0.05,2.302,7121,0.3376,0.08,-0.049,165175688,28.044999999999998,0,0.23,52.4367,81800,686873.00,-14867408
RKDA,"Arcadia Biosciences, Inc",33061764,-0.16,0.384,8965,6.63,3.09,-3.29,9513529,19.036,13.042000000000002,0.47,18.4457,250018,2742000.00,-17520000
RNDB,"Randolph Bancorp, Inc",64095640,NaN,0.635,9246,17.98,11.7,1.22,4032140,17.84,42.126000000000005,0.65,1.2114,21466,71944000.00,NA
